,position,company,state,salary,currency,start_sal,end_sal,term
754,Business Development Executive,SHIELD INTACT SDN. BHD.,Kuala Lumpur,MYR 2.2K - 3.1K monthly,MYR,2200,3100,monthly
756,Secretary cum Admin 秘书与行政,PRUDENTIAL LIFE INSURANCE AGENCY ASSOCIATION MALAYSIA (PRULIA),Petaling Jaya,MYR 2.2K - 2.5K monthly,MYR,2200,2500,monthly
757,Practical Training,Rockwills Corporation Sdn Bhd,Kuala Lumpur,MYR 800 - 1K monthly,MYR,800,1000,monthly
758,Office Admin Intern,Gafis (M) Sdn Bhd,Shah Alam/Subang,MYR 499 - 500 monthly,MYR,499,500,monthly
763,Technical Trainer (Motorcycle),FRD PERFORMANCE MOTORSPORT (M) SDN BHD,Penang,MYR 3K - 6K monthly,MYR,3000,6000,monthly
766,Digital Marketer,AFO FOOD INDUSTRIES SDN. BHD.,Cameron Highlands,MYR 1.5K - 2K monthly,MYR,1500,2000,monthly
769,"Accounts Assistants, Audit  Assistants",RYAN AND PARTNERS,George Town,MYR 1.8K - 2.7K monthly,MYR,1800,2700,monthly
770,E-Commerce & Website Manager,Magicboo Beauty Sdn Bhd,Kuala Lumpur,MYR 4.8K - 6K monthly,MYR,4800,6000,monthly
772,Accounts Executive,TIAN AN TRADING SDN BHD,Kuala Lumpur,MYR 4.5K - 5.5K monthly,MYR,4500,5500,monthly
773,Area Sales Manager,Austar Co. Ltd.,Kuala Lumpur,MYR 8K - 12K monthly,MYR,8000,1000,monthly
774,Site Engineer,HLS Pro Construction Sdn Bhd,Taiping,MYR 3K - 4.2K monthly,MYR,3000,4200,monthly
775,Graphic Design Executive,Ori Bionature (M) Sdn Bhd,Puchong,MYR 2.5K - 3.5K monthly,MYR,2500,3500,monthly
778,Senior Purchasing Executive,Gabungan AQRS Berhad,Selangor,MYR 5K - 6K monthly,MYR,5000,6000,monthly
780,Walk In Interview-Operator & Technician,Nexperia Malaysia Sdn.Bhd.,Negeri Sembilan,MYR 1.2K - 2K monthly,MYR,1200,2000,monthly
784,Corporate Account Executive,SRG Asia Pacific Sdn. Bhd.,Kuala Lumpur,MYR 2.6K - 3.5K monthly,MYR,2600,3500,monthly
789,Quality Assurance Executive,Taiko Marketing Sdn. Bhd.,Selangor,MYR 4.5K - 6K monthly,MYR,4500,6000,monthly
792,Corporate Strategy Sr Executive,Innity Sdn Bhd,Petaling Jaya,MYR 4.5K - 7K monthly,MYR,4500,7000,monthly
793,Internship for Sales & Marketing Students,CryoCord Sdn Bhd,Selangor,MYR 500 - 500 monthly,MYR,500,500,monthly
794,Human Resource Manager,Sabah International Dairies Sdn Bhd,Kota Kinabalu,MYR 5K - 7K monthly,MYR,5000,7000,monthly
795,HRSS Tier 2 Customer Advocate,AIG Shared Services (M) Sdn Bhd,Puchong,MYR 4.5K - 6K monthly,MYR,4500,6000,monthly
797,Recruitment Consultant (Based in KL; Basic + Attractive Incentives),Capita Global Sdn Bhd,Kuala Lumpur,MYR 2.5K - 3.5K monthly,MYR,2500,3500,monthly
798,ONLINE MARKETER,Cleo Secret Sdn Bhd,Kuala Terengganu,MYR 1.5K - 2.1K monthly,MYR,1500,2100,monthly
800,HR Executive (Recruitment),LB Aluminium Berhad,Selangor,MYR 2.5K - 3.5K monthly,MYR,2500,3500,monthly
802,Customer Service Coordinator,Shipco Transport Sdn. Bhd.,George Town,MYR 2K - 3K monthly,MYR,2000,3000,monthly
805,CORPORATE SERVICES ASSISTANT,Agensi Pekerjaan Yes Boss Sdn Bhd,Kuala Lumpur,MYR 1.5K - 2.5K monthly,MYR,1500,2500,monthly
807,Sales Executive,SHENVIRO HALL SDN BHD,Rawang,MYR 2K - 3K monthly,MYR,2000,3000,monthly
808,PERSONAL ASSISTANT,Company Confidential,Kuala Lumpur,MYR 2K - 3K monthly,MYR,2000,3000,monthly
812,Warehouse Assistant Section Head,UWC Holdings Sdn Bhd,Penang,MYR 3K - 4K monthly,MYR,3000,4000,monthly
815,Electrical Engineer,ZEAL PERUNDING SDN. BHD.,Petaling Jaya,MYR 2K - 3K monthly,MYR,2000,3000,monthly
816,Accounts cum Admin Executive,IPG ASSET SOLUTIONS SDN. BHD.,Kuala Lumpur,MYR 2.5K - 3K monthly,MYR,2500,3000,monthly
819,Management Trainee,CoinX Sdn Bhd,Kuala Lumpur,MYR 2K - 3K monthly,MYR,2000,3000,monthly
820,Assistant Outlet Store Manager | Luxury Brand | Genting Premium Outlet,Company Confidential,Pahang,MYR 3.8K - 4K monthly,MYR,3800,4000,monthly
821,"Indoor Sales Coordinator 销售助理 - Prai, Penang",UA Materials Sdn Bhd,Perai,MYR 2.2K - 3.3K monthly,MYR,2200,3300,monthly
822,Customer Service Executive,Evyap Sabun Malaysia Sdn Bhd,Johor Bahru,MYR 2.5K - 3K monthly,MYR,2500,3000,monthly
823,Financial Controller,Hume Concrete Sdn Bhd,Petaling Jaya,MYR 20K - 22K monthly,MYR,2000,2000,monthly
824,Retail Fashion Associate-THE SPRING KUCHING,HLA  GARMENT (SINGAPORE) PTE. LTD.,Kuching,MYR 1.6K - 2K monthly,MYR,1600,2000,monthly
828,Admin Executive 行政专员,THE EVENT-CHANNEL (M) SDN. BHD.,Puchong,MYR 1.8K - 2.5K monthly,MYR,1800,2500,monthly
831,Personal Assistant / Executive Assistant to CEO,EHATI INTERNATIONAL SDN. BHD.,Selangor,MYR 2K - 3.8K monthly,MYR,2000,3800,monthly
832,Internship for digital marketing content writer,Sales Connection - Good Works Technology Sdn Bhd,Selangor,MYR 700 - 1K monthly,MYR,700,1000,monthly
833,Housekeeping Attendant - Rooms & Public Area,Empire Hotel Subang,Selangor,MYR 1.5K - 2K monthly,MYR,1500,2000,monthly
835,Workplace Manager,Sodexo Malaysia Sdn Bhd,Kuala Lumpur,MYR 6.5K - 7K monthly,MYR,6500,7000,monthly
837,Internet Technology,Sai Kim Enterprise Sdn Bhd,Selangor,MYR 3K - 5K monthly,MYR,3000,5000,monthly
839,M&E Engineer,China Construction Engineering (S.E.A) Malaysia Sdn. Bhd.,"Johor - Others, Kuala Lumpur, Bentong",MYR 2.8K - 4K monthly,MYR,2800,4000,monthly
845,Building Manager,PMC Facilities & Real Estate Sdn Bhd,"Kuala Lumpur, Selangor",MYR 5K - 7K monthly,MYR,5000,7000,monthly
848,ACCOUNT Cum HR EXECUTIVE,Stardex Trading Sdn Bhd,Kajang/Bangi/Serdang,MYR 2K - 2.8K monthly,MYR,2000,2800,monthly
851,SENIOR WRITER,Property Insight,Selangor,MYR 3.5K - 4.5K monthly,MYR,3500,4500,monthly
852,"Medical Representative, Pharmaceutical (Penang)",DKSH Malaysia Sdn Bhd,Ayer Itam,MYR 2.5K - 5K monthly,MYR,2500,5000,monthly
856,Quantity Surveyor,WHH LAND SDN. BHD.,Bukit Mertajam,MYR 3K - 6K monthly,MYR,3000,6000,monthly
860,SALES EXECUTIVE,A.S CHIN HIN SDN BHD,"Kedah, Perlis, Penang",MYR 2K - 5K monthly,MYR,2000,5000,monthly
863,ASSISTANT PROJECT MANAGER,Unitedhome Development Sdn. Bhd.,Melaka,MYR 5K - 8K monthly,MYR,5000,8000,monthly
864,Store Supervisor,IWC Asia Sdn Bhd,Rawang,MYR 2K - 3K monthly,MYR,2000,3000,monthly
865,HR CUM ADMIN EXECUTIVE,AGRI OILS PACKAGING SDN. BHD.,Selangor,MYR 3.5K - 4K monthly,MYR,3500,4000,monthly
